fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),slope_mean
759,205166,"182862063234778",Khanikar T E L C R Grant,Dibrugarh West,Dibrugarh,Assam,India,Khanikar T.E. 2 L.C.R. Grant,,Khanikar T.E. L.C.R. Grant,291106,2063,286,18,"291106",2.31945247,Village,Rural,2954979.84090133,7735.04127058401,1
760,206755,"182862064234889",Kharikatia Gaon,Dibrugarh East,Dibrugarh,Assam,India,Kharikatia Gaon,,Kharikatia Gaon,291306,2064,286,18,"291306",2.72288573,Village,Rural,3470290.90697991,8296.80771251071,
761,205479,"182862065234996",Kharjan Gaon,Chabua,Dibrugarh,Assam,India,Kharjan Gaon,,Kharjan Gaon,291402,2065,286,18,"291402",1.02779475,Village,Rural,1312630.23973595,5214.02009559942,
762,210335,"182862065234991",Kharjan Grant,Chabua,Dibrugarh,Assam,India,Kharjan Grant,,Kharjan Grant,291401,2065,286,18,"291401",3.02783257,Village,Rural,3866343.35004992,10505.5288498649,
763,205478,"182862065234994",Kharjan T E,Chabua,Dibrugarh,Assam,India,Kharjan T.E.,,Kharjan T.E.,291406,2065,286,18,"291406",3.54502901,Village,Rural,4526471.64302153,9710.24243815959,
764,211777,"182862065234981",Kharjan T E,Chabua,Dibrugarh,Assam,India,Kharjan T.E.,,Kharjan T.E.,291424,2065,286,18,"291424",1.06546139,Village,Rural,1360123.21965077,5768.00134821879,
765,205162,"182862069235665",Khatowa Pathar Gaon,Naharkatiya,Dibrugarh,Assam,India,Khatowa Pathar Gaon,,Khatowa Pathar Gaon,292294,2069,286,18,"292294",1.45914845,Village,Rural,1854976.5147922,7678.32234638707,
766,206422,"182862069235663",Khatua,Naharkatiya,Dibrugarh,Assam,India,Khatua,,Khatua,292267,2069,286,18,"292267",2.0822662,Village,Rural,2647630.83105379,9161.22405351873,
767,205161,"182862067235721",Khelmati,Moran,Dibrugarh,Assam,India,Khelmati,,Khelmati,291971,2067,286,18,"291971",1.9944174,Village,Rural,2528843.58162207,6764.4059503338,1
768,205088,"182862068235355",Kherani,Tingkhong,Dibrugarh,Assam,India,Kherani,,Kherani,292180,2068,286,18,"292180",1.89434299,Village,Rural,2402717.33169059,6496.92216373599,
769,205377,"182862066235106",Kheremia Gaon,Tengakhat,Dibrugarh,Assam,India,Kheremia Gaon,,Kheremia Gaon,291594,2066,286,18,"291594",1.22946948,Village,Rural,1564768.10029501,5373.90521984698,
770,211116,"182862068235318",Kheroni,Tingkhong,Dibrugarh,Assam,India,Kheroni No.2,,Kheroni,292088,2068,286,18,"292088",0.51778216,Village,Rural,657706.894057595,3642.47905215103,
771,205148,"182862068235319",Kheroni Pather,Tingkhong,Dibrugarh,Assam,India,Kheroni Pather,,Kheroni Pather,292087,2068,286,18,"292087",1.19261472,Village,Rural,1514931.87789732,5229.593740523,
772,205513,"182862064234946",Kholajan Grant N C,Dibrugarh East,Dibrugarh,Assam,India,Kholajan Grant 34 No N.C.,,Kholajan Grant N.C.,291275,2064,286,18,"291275",1.55543,Village,Rural,1985218.63738476,6795.60926683168,
773,205349,"182862066235232",Khongia Gaon,Tengakhat,Dibrugarh,Assam,India,Khongia Gaon,,Khongia Gaon,291607,2066,286,18,"291607",1.78279282,Village,Rural,2269570.91558423,6097.32871385818,
774,212337,"182862067235939",Khowang,Moran,Dibrugarh,Assam,India,Khowang 99/102 No. Nlr Grant,,Khowang,291843,2067,286,18,"291843",0.09835617,Village,Rural,124944.150897804,2020.38309215022,1
775,205399,"182862067235793",Khowang 312 No Nlr Grant,Moran,Dibrugarh,Assam,India,Khowang 312 No. Nlr Grant,,Khowang Grant,291802,2067,286,18,"291802",2.06058101,Village,Rural,2617604.30295607,7405.08040303021,1
776,210888,"182862067235784",Khowang 319 No Nlr Grant,Moran,Dibrugarh,Assam,India,Khowang 319 No. Nlr Grant,,Khowang Grant,291803,2067,286,18,"291803",1.94431893,Village,Rural,2469913.51159455,6308.20757813378,1
777,205133,"182862067235935",Khowang Chah Co Grant,Moran,Dibrugarh,Assam,India,Khowang Chah Co. 108 No Fs Grant,,Khowang Chah Co. Grant,291903,2067,286,18,"291903",2.53294444,Village,Rural,3215265.2764027,8695.02309916155,1
778,205239,"182862067235836",Khowang Grant,Moran,Dibrugarh,Assam,India,Khowang 11/164 Nlr Grant,,Khowang Grant,291768,2067,286,18,"291768",4.7369322,Village,Rural,6017099.70870473,12014.1808254034,1
779,206552,"182862068235478",Khowang Grant,Tingkhong,Dibrugarh,Assam,India,Khowang Grant,,Khowang Grant,292032,2068,286,18,"292032",1.27222731,Village,Rural,1617117.12484484,5031.04742255764,
780,205060,"182862067235839",Khowang Nlr Grant No 319,Moran,Dibrugarh,Assam,India,Khowang Nlr Grant No.319,,Khowang Grant,291840,2067,286,18,"291840",2.40251164,Village,Rural,3051169.90256024,7297.93459040481,1
781,205405,"182862067235963",Khowang Sonowal Bongali Gaon,Moran,Dibrugarh,Assam,India,Khowang Sonowal Bongali Gaon,,Khowang Sonowal Bongali Gaon,291719,2067,286,18,"291719",2.35427356,Village,Rural,2991391.31784693,8293.54897578255,1
782,212344,"182862067238059",Koch Gaon F V,Moran,Dibrugarh,Assam,India,Koch Gaon F.V.,,Koch Gaon F.V.,292005,2067,286,18,"292005",0.50968437,Village,Rural,647932.026959405,4477.05135147585,1
783,206631,"182862067235741",Koilagarah Gaon,Moran,Dibrugarh,Assam,India,Koilagarah Gaon,,Koilagarah Gaon,291890,2067,286,18,"291890",1.01469439,Village,Rural,1289029.0496642,5289.83393265321,1
784,206474,"182862067235738",Koilagarah Habi,Moran,Dibrugarh,Assam,India,Koilagarah Habi,,Koilagarah Habi,291891,2067,286,18,"291891",0.92568774,Village,Rural,1175711.57825328,5197.76004430684,1
785,206630,"182862063234731",Kolakhowa Gozal Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kolakhowa Gozal Gaon,,Kolakhowa Gozal Gaon,291197,2063,286,18,"291197",3.16978168,Village,Rural,4028058.32952342,9742.78555765647,1
786,210585,"182862063234771",Koliani No Gaon,Dibrugarh West,Dibrugarh,Assam,India,Koliani No.Gaon,,Koliani No.Gaon,291156,2063,286,18,"291156",2.51803258,Village,Rural,3206377.10709272,12681.4685954681,1
787,205228,"182862067235814",Kolowlowa Deori Gaon,Moran,Dibrugarh,Assam,India,Kolowlowa Deori Gaon,,Kolowlowa Deori Gaon,291728,2067,286,18,"291728",2.52910037,Village,Rural,3215731.25273154,8214.02222371006,0.997264437694499
788,206385,"182862067235813",Kolowlowa Gaon,Moran,Dibrugarh,Assam,India,Kolowlowa Gaon,,Kolowlowa Gaon,291735,2067,286,18,"291735",2.21990107,Village,Rural,2822784.12545255,9580.67466133806,1
789,206669,"182862067235833",Kolowlowa Habi,Moran,Dibrugarh,Assam,India,Kolowlowa Habi,,Kolowlowa Habi,291736,2067,286,18,"291736",2.62140869,Village,Rural,3334155.67541413,8837.59505157624,0.994812680123862
790,206425,"182862065235007",Komar Gaon,Chabua,Dibrugarh,Assam,India,Komar Gaon,,Komar Gaon,291452,2065,286,18,"291452",2.2351167,Village,Rural,2850719.76988163,7422.19063237058,
791,205136,"182862069235538",Konwabam Gaon,Naharkatiya,Dibrugarh,Assam,India,Konwabam Gaon,,Konwabam Gaon,292395,2069,286,18,"292395",1.8954261,Village,Rural,2406662.86475233,5852.12943255614,
792,206465,"182862067236001",Konwargaon,Moran,Dibrugarh,Assam,India,Konwargaon No.2,,Konwargaon,291780,2067,286,18,"291780",1.57614991,Village,Rural,2002254.66588519,7668.98765194228,1
793,206626,"182862067236002",Konwar Gaon,Moran,Dibrugarh,Assam,India,Konwar Gaon No.1,,Konwar Gaon,291709,2067,286,18,"291709",1.07719498,Village,Rural,1368586.24715988,5630.59389543024,1
794,206352,"182862063234666",Konwar Handiqui Gaon,Dibrugarh West,Dibrugarh,Assam,India,Konwar Handiqui Gaon,,Konwar Handiqui Gaon,291087,2063,286,18,"291087",2.33209006,Village,Rural,2973320.63003119,7143.92145495106,1
795,206411,"182862069235653",Konwarijan,Naharkatiya,Dibrugarh,Assam,India,Konwarijan,,Konwarijan,292310,2069,286,18,"292310",1.52928725,Village,Rural,1944350.28866019,6748.37584113119,
796,206703,"182862065234959",Kopowhuwa Gaon,Chabua,Dibrugarh,Assam,India,Kopowhuwa Gaon,,Kopowhuwa Gaon,291472,2065,286,18,"291472",3.17673771,Village,Rural,4047537.34873665,9703.1636819047,
797,205301,"182862063234710",Kotoha Bangali Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kotoha Bangali Gaon,,Kotoha Bangali Gaon,291211,2063,286,18,"291211",1.45056925,Village,Rural,1844235.69346313,5988.59297988065,0.957812500069849
798,205164,"182862063234751",Kotoha Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kotoha Gaon,,Kotoha Gaon,291215,2063,286,18,"291215",2.53659411,Village,Rural,3225915.47398896,9413.22154544409,0.997305389226018
