village_name_pdf,circle,flood_class,pdf_page
LengraiJokaiAssamTE13No.fs.,chabua,Moderate (9-12),165
Bezapather No.1,moran,Moderate (9-12),165
Rajagarh Bangali Pather,naharkatiya,Moderate (9-12),165
Kamuhata Habi,chabua,Moderate (9-12),165
1 No.Buri Khowang,moran,Moderate (9-12),165
Ganisuk Kobor,chabua,Moderate (9-12),165
Charaihabi Gaon No.1,moran,Moderate (9-12),165
Naharani Block,naharkatiya,Moderate (9-12),165
Agni Pather Gaon,dibrugarh east,Moderate (9-12),165
2No.Charihabi,moran,Moderate (9-12),165
Chengelijan Habi No.1,naharkatiya,Moderate (9-12),165
Rajgarh No. 1,dibrugarh east,Moderate (9-12),165
Silputa No.1,moran,Moderate (9-12),165
Kakajan Gaon,naharkatiya,Moderate (9-12),165
Dangar Pather No.2,dibrugarh east,Moderate (9-12),165
Barbil Block gaon,moran,Moderate (9-12),165
Golai Bengali,naharkatiya,Moderate (9-12),165
Garuchera Gaon,dibrugarh east,Moderate (9-12),165
Tuni Gaon,moran,Moderate (9-12),165
Nagamati Kheremia Gaon,naharkatiya,Moderate (9-12),165
Habi Chuk,dibrugarh east,Moderate (9-12),165
3 No. Buri Khowang,moran,Moderate (9-12),165
Dhunda Nahur No.2,naharkatiya,Moderate (9-12),165
Konwari Pather,dibrugarh east,Moderate (9-12),165
Thangal,moran,Moderate (9-12),165
Gurania No.2,naharkatiya,Moderate (9-12),165
Melengial Gaon,dibrugarh east,Moderate (9-12),165
Sologuri No.2,moran,Moderate (9-12),165
Ghuronia,naharkatiya,Moderate (9-12),165
Basmotia Grant 8,dibrugarh east,Moderate (9-12),165
Ahom Gaon,moran,Moderate (9-12),165
Rangswal No.2,naharkatiya,Moderate (9-12),165
Wilton Gaon No.11,dibrugarh east,Moderate (9-12),165
Rasipahter No.3,moran,Moderate (9-12),165
Lebang Khula Gaon,naharkatiya,Moderate (9-12),165
Bhimpara,dibrugarh east,Moderate (9-12),165
Ghoguloni Nepali,moran,Moderate (9-12),165
Dehing Hola No.1,naharkatiya,Moderate (9-12),165
Rongpuria,dibrugarh east,Moderate (9-12),165
Lengeri No.4,moran,Moderate (9-12),165
Ghilaguri Gaon,naharkatiya,Moderate (9-12),165
Dibruwal Changmai,dibrugarh east,Moderate (9-12),165
Tikhorai Bangali,moran,Moderate (9-12),165
Dorania Gaon No.1,naharkatiya,Moderate (9-12),165
Teporchali,dibrugarh east,Moderate (9-12),165
Dehingia Gaon No.3,moran,Moderate (9-12),165
Namati Block,naharkatiya,Moderate (9-12),165
Kanai Gaon,dibrugarh east,Moderate (9-12),165
Naharani Sonowal,moran,Moderate (9-12),165
Halowa,naharkatiya,Moderate (9-12),165
Gharbandi Chuk Zarua,dibrugarh east,Moderate (9-12),165
Dhemechi Gaon,moran,Moderate (9-12),165
Nigam Gaon,naharkatiya,Moderate (9-12),165
Miri Pather Gaon,dibrugarh east,Moderate (9-12),165
Napather,moran,Moderate (9-12),165
Dighalia Gaon No.2,naharkatiya,Moderate (9-12),165
Kandhuli Bari Grant 4 no.FS 16,dibrugarh east,Moderate (9-12),165
Ahomgaon Nagor,moran,Moderate (9-12),165
Tingrai Borhula,tengakhat,Moderate (9-12),165
Losongaya Miri N.C.,dibrugarh east,Moderate (9-12),165
Madhakali No.2,moran,Moderate (9-12),165
Rangajan No.2,tengakhat,Moderate (9-12),165
Tamulbari T.E. 40/43 NLR,dibrugarh east,Moderate (9-12),165
Muwamora Gaon No.2,moran,Moderate (9-12),165
Phukanbari Bagan No.25,tengakhat,Moderate (9-12),165
Ekaratoli Beheoigutia,dibrugarh east,Moderate (9-12),165
Mirihola No.1,moran,Moderate (9-12),165
Bahoni Pather,tengakhat,Moderate (9-12),165
Jhiliguri Gaon,dibrugarh east,Moderate (9-12),165
4 No.Silputa Gaon,moran,Moderate (9-12),165
Hatigah Bahjan,tengakhat,Moderate (9-12),165
Langsoo Gaon,dibrugarh east,Moderate (9-12),165
