village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Nilmoni 15/55/79,292166,243.5,736,140,1,2,b,b,,,,,,0.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,Yes,c,Yes,Yes,c,c,Yes,Yes,b,Yes,Yes,b,b,c,a,b,Yes,Yes,Yes,No,Yes,No,0.0,24.8,0.0,0.0,0.0,0.0,0.0,218.6,0.0,218.6
Majgaon,292167,36.2,274,57,1,a,a,b,,,,,,0.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,b,c,b,b,c,c,b,Yes,b,Yes,Yes,c,c,b,a,c,Yes,a,Yes,No,No,No,0.0,3.4,0.0,0.0,0.0,0.0,0.0,32.9,0.0,32.9
Nilmoni 84 (Darkhastor),292168,195.0,961,180,1,a,a,b,,,,,,3.0,No,Yes,Yes,No,No,No,No,No,b,c,a,a,a,a,c,c,b,Yes,a,Yes,Yes,c,c,b,a,a,a,Yes,Yes,No,No,No,0.0,0.0,20.0,0.0,0.0,0.0,0.0,175.0,0.0,175.0
Karangani No. 340 Nlr,292169,195.2,687,132,1,a,a,a,,,,,,0.0,Yes,No,No,Yes,No,No,No,No,Yes,c,Yes,c,a,a,c,c,Yes,Yes,b,Yes,Yes,c,b,b,Yes,a,Yes,Yes,Yes,Yes,No,No,0.0,35.8,0.0,0.0,0.0,0.0,0.0,159.4,0.0,159.4
Karangani No.18,292170,67.9,454,96,1,a,a,a,,,,,,0.0,Yes,No,No,Yes,No,No,No,No,Yes,c,Yes,c,a,a,c,c,Yes,Yes,b,Yes,Yes,c,c,b,a,a,Yes,Yes,Yes,Yes,No,No,0.0,4.4,0.0,0.0,0.0,0.0,0.0,63.5,0.0,63.5
Nabhakatia No.3,292171,33.6,308,71,1,a,a,a,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,c,a,c,a,a,c,c,a,Yes,a,Yes,Yes,c,c,b,Yes,a,a,a,Yes,No,No,No,0.0,16.1,0.0,0.0,0.0,0.0,0.0,17.5,0.0,17.5
Nabhakatia No.2,292172,116.7,2897,609,6,3,1,1,,2.0,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,a,Yes,c,Yes,Yes,c,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,Yes,a,Yes,Yes,Yes,Yes,No,No,0.0,51.1,0.0,0.0,0.0,0.0,0.0,65.6,0.0,65.6
Nabhakatia No.1,292173,124.2,317,67,1,1,a,a,,,,,,0.0,Yes,No,Yes,No,No,No,No,No,Yes,c,Yes,c,a,a,c,c,a,Yes,b,Yes,Yes,c,c,b,Yes,a,Yes,a,Yes,No,No,No,0.0,23.8,0.0,17.7,0.0,0.0,0.0,82.6,0.0,82.6
Lonboi No.341 Nlr,292174,110.9,330,65,1,a,a,b,,,,,,1.0,Yes,No,Yes,No,No,No,No,No,b,c,Yes,c,b,a,c,Yes,Yes,Yes,b,Yes,Yes,c,b,b,a,a,Yes,a,Yes,No,No,No,0.0,13.4,0.0,0.0,0.0,0.0,0.0,17.3,0.0,17.3
Lurarmukh Bokalial (Bakatial),292175,118.0,555,112,2,a,a,c,,,,,,2.0,No,No,Yes,No,No,No,No,No,b,c,c,c,b,c,c,b,a,Yes,a,Yes,Yes,c,c,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,30.1,0.0,0.0,0.0,0.0,0.0,79.9,0.0,79.9
Sukar Pather,292176,31.0,72,13,1,a,a,b,,,,,,1.0,No,Yes,Yes,No,No,No,No,No,b,c,b,c,b,a,c,b,a,c,a,a,Yes,c,c,b,a,b,Yes,a,No,No,No,No,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,13.4
Tangapather,292177,52.2,364,69,1,b,a,b,,,,,,2.0,Yes,Yes,Yes,No,No,No,No,No,a,c,a,a,a,a,c,b,c,Yes,a,Yes,Yes,c,c,b,a,a,Yes,a,Yes,No,No,No,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.2,0.0,31.2
Kachalubam,292178,121.9,464,96,1,a,a,a,,,,,,2.0,No,Yes,Yes,No,No,Yes,No,No,a,b,a,a,b,a,c,b,b,Yes,a,Yes,Yes,c,c,b,Yes,a,Yes,Yes,Yes,No,No,No,0.0,16.8,14.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0
Sukani Pather Block,292179,100.8,675,153,1,b,b,b,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,b,Yes,c,c,a,c,a,Yes,Yes,b,Yes,Yes,c,c,b,a,a,Yes,Yes,Yes,No,No,No,0.0,12.8,0.0,30.4,0.0,0.0,0.0,43.2,0.0,43.2
Kherani,292180,202.3,687,142,1,a,a,a,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,a,b,Yes,c,b,a,c,a,Yes,Yes,b,Yes,Yes,c,c,b,a,a,a,Yes,No,No,No,No,0.0,23.4,0.0,4.9,0.0,0.0,0.0,113.8,0.0,113.8
Nagabat No.2,292181,61.6,360,75,1,,a,a,,,,,,0.0,Yes,No,Yes,No,No,No,No,No,Yes,c,Yes,c,c,a,c,a,Yes,Yes,b,Yes,Yes,c,c,b,a,Yes,a,a,Yes,No,No,No,0.0,0.0,10.7,0.0,0.0,0.0,0.0,30.0,0.0,30.0
Deroi T.E. 44/188,292182,432.3,3179,605,4,b,a,a,,,,,,1.0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,b,Yes,c,c,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,b,a,b,a,Yes,Yes,No,Yes,No,0.0,15.8,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
Deroi Grant No.1,292183,316.4,1287,274,4,2,a,b,,,,,,1.0,No,Yes,Yes,No,Yes,Yes,No,No,Yes,b,a,c,Yes,a,c,a,a,Yes,a,Yes,Yes,c,c,c,a,a,Yes,Yes,Yes,No,No,No,0.0,43.5,0.0,0.0,0.0,0.0,0.0,165.9,0.0,165.9
Nemupather 69 No.,292184,652.4,1881,365,4,3,1,a,,,1.0,,,1.0,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,b,a,c,Yes,b,Yes,a,a,Yes,a,Yes,Yes,c,c,c,a,b,Yes,Yes,Yes,No,No,No,0.0,80.3,0.0,0.0,0.0,0.0,0.7,306.8,0.0,306.8
Deroibam No.79,292185,250.9,716,139,1,b,b,b,,,,,,0.0,Yes,No,Yes,No,No,Yes,No,No,c,c,Yes,c,b,b,c,a,Yes,Yes,a,Yes,Yes,c,c,c,Yes,c,a,Yes,Yes,Yes,Yes,No,0.0,40.1,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
Kenya Pather No.70,292186,209.9,1059,200,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,a,c,Yes,b,a,a,a,Yes,a,Yes,Yes,c,c,c,a,b,Yes,Yes,Yes,No,No,No,26.8,0.0,0.0,0.0,0.0,0.0,0.0,136.4,0.0,136.4
Garchinga (Gorginga),292187,178.7,584,123,1,a,a,a,,,1.0,,,0.0,Yes,Yes,Yes,No,No,Yes,No,No,Yes,c,Yes,c,c,b,c,a,Yes,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,52.2,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73.0
Nagabat No.1,292188,99.4,522,107,1,a,a,a,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,c,Yes,c,c,a,c,a,Yes,Yes,b,Yes,Yes,c,c,c,Yes,a,Yes,Yes,Yes,No,No,No,0.0,0.0,9.4,0.0,0.0,0.0,0.0,70.0,0.0,70.0
Jooktoli Borbam T.E. 44/171,292189,202.0,386,70,1,a,a,b,,,,,,2.0,No,No,Yes,Yes,No,No,No,No,c,c,b,a,b,a,c,b,b,Yes,a,Yes,Yes,c,c,c,a,a,Yes,b,Yes,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0
Joonktoli Barbam 24/170 Np,292190,220.7,2096,447,1,a,a,c,,,,,,2.0,Yes,No,Yes,Yes,No,Yes,No,No,c,c,Yes,c,Yes,b,c,b,Yes,Yes,Yes,Yes,Yes,b,c,c,a,b,Yes,Yes,Yes,No,No,Yes,0.0,28.8,0.0,0.0,0.0,0.0,0.0,18.7,0.0,18.7
Jooktoli Barbam 106/103/124/17,292191,29.0,32,9,a,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,c,c,b,,b,b,Yes,b,b,c,b,Yes,Yes,c,c,c,a,b,a,a,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajabaribam,292192,49.5,133,26,1,b,b,b,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,No,c,c,Yes,c,b,b,c,b,Yes,Yes,a,a,Yes,c,c,b,a,b,Yes,a,Yes,No,No,No,0.0,4.8,0.0,0.0,0.0,0.0,0.0,39.5,0.0,39.5
Jooktoli 208/206,292193,19.0,55,16,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,b,c,b,,b,b,Yes,b,b,b,b,Yes,Yes,b,c,b,Yes,b,Yes,a,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dachuk Bokalial (Bakabat),292194,224.9,914,202,2,2,1,c,,,,,,1.0,No,Yes,Yes,Yes,No,Yes,No,No,a,c,Yes,c,b,b,c,b,Yes,Yes,b,Yes,Yes,b,c,b,a,b,Yes,Yes,Yes,No,No,No,0.0,30.4,0.0,0.0,0.0,0.0,0.0,185.2,0.0,185.2
Lonbai Pather,292195,202.2,784,152,1,a,a,a,,,,,,0.0,Yes,No,Yes,No,No,Yes,No,No,Yes,c,b,c,b,b,c,c,b,Yes,b,Yes,Yes,b,c,b,a,a,a,Yes,Yes,No,No,No,0.0,49.5,0.0,0.0,0.0,0.0,0.0,152.7,0.0,152.7
Dangalpara (Dangatpara),292196,117.5,574,128,1,a,a,a,,,,,,0.0,Yes,Yes,Yes,No,No,No,No,No,a,c,Yes,c,a,a,c,c,Yes,Yes,b,Yes,Yes,b,c,b,a,a,a,Yes,Yes,Yes,No,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,116.4,0.0,116.4
Kamarchuk Bokalial,292197,188.4,580,128,1,2,a,a,,,,,,0.0,No,No,Yes,No,No,No,No,No,a,c,Yes,c,a,a,c,c,Yes,Yes,b,Yes,Yes,b,c,b,a,a,Yes,Yes,Yes,No,No,No,0.0,3.0,0.0,7.2,0.0,0.0,0.0,175.3,0.0,175.3
Chakalia Pather,292198,200.1,1330,263,1,2,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,Yes,No,No,Yes,c,a,c,Yes,a,c,c,c,Yes,a,Yes,Yes,b,c,b,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,47.4,0.0,0.0,0.0,0.0,0.0,152.7,0.0,152.7
Tipomia No.2,292199,34.0,82,15,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,b,c,b,c,b,b,c,c,c,b,b,Yes,Yes,b,c,b,Yes,a,Yes,a,Yes,No,No,No,0.0,0.6,0.0,0.0,0.0,0.0,0.0,33.4,0.0,33.4
Dhowa Pather No.1,292200,458.8,1949,375,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,No,b,c,a,a,Yes,a,b,b,b,Yes,a,Yes,Yes,b,b,b,Yes,a,a,Yes,Yes,No,No,No,0.0,70.0,130.8,0.0,0.0,0.0,0.0,258.0,0.0,258.0
Chakalia Pather No.2,292202,40.7,263,47,1,a,a,a,,,,,,0.0,No,Yes,No,Yes,No,No,No,No,Yes,c,a,c,a,b,c,c,c,Yes,b,Yes,Yes,b,c,b,a,a,Yes,a,Yes,No,No,No,0.0,12.2,0.0,0.0,0.0,0.0,0.0,28.4,0.0,28.4
Karangani No.72,292203,142.2,177,38,1,2,a,a,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,c,a,c,a,a,c,c,a,Yes,a,a,Yes,b,b,b,a,a,Yes,a,Yes,No,No,No,0.0,17.4,0.0,0.0,0.0,0.0,0.0,124.8,0.0,124.8
Chapatali No.3,292204,75.6,391,77,1,b,b,b,,,,,,0.0,No,Yes,No,Yes,No,Yes,No,No,Yes,b,c,,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,11.6,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0
Baghmora,292205,174.3,491,105,1,2,a,b,,,,,,0.0,Yes,No,No,Yes,No,No,No,No,b,c,c,,b,b,c,a,a,Yes,a,Yes,Yes,b,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,2.1,0.0,13.4,0.0,0.0,0.0,158.8,0.0,158.8
Majgaon,292206,5.5,84,18,a,a,a,c,,,,,,1.0,No,No,Yes,No,No,No,No,No,b,c,c,c,b,c,c,c,a,c,a,a,Yes,b,c,b,a,c,a,a,No,No,No,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5
Baghmora No.2,292207,28.8,393,78,1,b,b,b,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,b,c,,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,c,Yes,Yes,a,Yes,No,No,No,0.0,2.1,0.0,0.0,0.0,0.0,0.0,26.7,0.0,26.7
Baghmora Puwali Pather,292208,157.7,650,134,1,b,b,b,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,b,c,c,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,3.4,0.0,0.0,0.0,0.0,0.0,150.9,0.0,150.9
Lonbai,292209,145.3,525,113,1,1,b,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,a,Yes,Yes,b,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,18.1,0.0,0.0,0.0,0.0,0.0,127.2,127.2,0.0
Dillibari 15/2/ N.L.R.,292210,176.6,320,70,1,a,b,b,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,b,Yes,c,b,b,c,b,Yes,Yes,a,Yes,Yes,a,b,b,a,c,Yes,a,Yes,No,No,No,0.0,20.1,0.0,0.0,0.0,0.0,0.0,156.5,156.5,0.0
Simaluguri,292211,64.2,528,108,1,a,b,b,,,,,,0.0,No,Yes,Yes,No,No,Yes,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,b,Yes,Yes,a,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,0.0,13.3,0.0,0.0,0.0,0.0,50.9,0.0,50.9
Mahmora Kapauhuwa,292212,172.4,406,90,1,a,b,b,,,,,,0.0,Yes,No,Yes,Yes,No,Yes,No,No,b,b,Yes,c,c,b,c,b,Yes,Yes,b,Yes,Yes,a,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,0.0,20.1,0.0,0.0,0.0,0.0,152.3,0.0,152.3
Chauwani,292213,96.2,406,79,1,1,b,b,,,,,,0.0,Yes,No,No,Yes,Yes,Yes,No,No,Yes,b,b,c,c,b,c,b,a,Yes,a,Yes,Yes,a,b,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,0.0,16.0,0.0,0.0,0.0,0.0,80.2,0.0,80.2
Kabula No.28,292214,208.5,736,144,1,a,b,b,,,1.0,,,0.0,Yes,No,Yes,No,No,No,No,No,b,b,Yes,c,b,b,c,c,Yes,Yes,a,Yes,Yes,a,c,b,a,c,Yes,Yes,Yes,No,No,No,0.0,34.3,0.0,0.0,0.0,0.0,0.0,174.2,0.0,174.2
Mahmora N.C. Block No.5,292215,17.7,90,14,1,a,b,b,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,b,Yes,c,c,b,c,c,Yes,Yes,a,Yes,Yes,a,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,0.0,2.7,0.0,0.0,0.0,0.0,15.1,15.1,0.0
Mahmora Block No.4,292216,14.7,112,26,1,a,b,b,,,,,,0.0,No,No,Yes,Yes,Yes,No,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,a,Yes,Yes,a,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,0.0,2.7,0.0,0.0,0.0,0.0,12.0,12.0,0.0
Mahmora Alikiner,292217,354.0,1152,229,1,2,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,a,Yes,Yes,a,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,0.0,26.8,56.3,0.0,0.0,0.0,271.0,0.0,271.0
Mahmora Block No.1,292218,4.6,51,12,1,a,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,Yes,c,c,b,c,c,Yes,Yes,a,Yes,Yes,b,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahmora Block No.3,292219,6.1,52,11,1,a,b,b,,,,,,0.0,No,No,Yes,No,Yes,No,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,a,Yes,Yes,b,b,b,a,Yes,Yes,a,Yes,No,No,No,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahmora Block No.2,292220,0.9,27,6,1,b,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,Yes,c,c,b,c,b,Yes,b,a,Yes,c,c,b,c,a,c,Yes,a,Yes,No,No,No,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Dillibari,292221,92.4,465,96,1,1,b,b,,,,,,0.0,No,No,Yes,Yes,No,Yes,No,No,Yes,c,Yes,b,b,b,c,b,Yes,Yes,a,Yes,Yes,b,b,b,a,c,Yes,Yes,Yes,No,No,No,0.0,0.0,13.4,0.0,0.0,0.0,0.0,79.0,0.0,79.0
Dillibari 342 Nlr,292222,250.1,1166,251,3,2,1,b,,,1.0,,,1.0,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,b,Yes,c,c,b,c,b,Yes,Yes,a,Yes,Yes,c,b,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,0.0,20.1,0.0,0.0,0.0,0.0,230.0,0.0,230.0
Chapatali No.2,292223,161.2,812,176,1,a,b,b,,,,,,0.0,Yes,Yes,Yes,No,No,Yes,No,No,Yes,b,b,,b,b,c,a,a,Yes,a,Yes,Yes,b,b,a,a,Yes,Yes,Yes,Yes,No,No,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,129.2,0.0,129.2
Chapatali No.1,292224,179.0,330,68,1,a,b,b,,,,,,0.0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,b,b,,b,b,c,a,a,Yes,a,Yes,Yes,b,b,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,2.1,0.0,14.2,0.0,0.0,0.0,162.7,0.0,162.7
Kecharuguri,292225,48.0,848,180,1,1,b,b,,,,,,0.0,No,Yes,Yes,No,No,Yes,No,No,Yes,b,Yes,c,b,b,c,a,Yes,Yes,a,Yes,Yes,b,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,3.1,0.0,0.0,0.0,0.0,0.0,45.1,0.0,45.1
Dhowa Pather No.2,292226,60.8,593,109,1,a,b,b,,,,,,0.0,No,Yes,Yes,No,No,Yes,No,No,b,b,Yes,c,b,b,c,c,Yes,Yes,b,Yes,Yes,b,c,b,Yes,c,a,Yes,No,No,No,No,0.0,2.4,0.0,0.0,0.0,0.0,0.0,58.4,0.0,58.4
Tipamia  No.1,292227,147.6,334,70,1,2,c,c,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,b,c,b,b,c,a,a,Yes,b,Yes,Yes,b,b,b,a,c,Yes,a,Yes,No,No,No,0.0,2.8,0.0,0.0,0.0,0.0,0.0,144.8,0.0,144.8
Maja Pather,292228,48.7,521,109,1,a,b,a,,,,,,0.0,No,Yes,Yes,No,No,Yes,No,No,a,b,Yes,c,a,a,c,c,Yes,Yes,b,Yes,Yes,b,c,b,a,b,Yes,Yes,Yes,No,No,No,0.0,1.9,0.0,0.0,0.0,0.0,0.0,46.8,0.0,46.8
Jooktoli Borbam 206/203 T.E.24/1,292229,28.8,17,4,1,a,a,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,b,b,b,c,b,a,c,b,a,a,a,Yes,c,b,c,b,a,b,Yes,a,Yes,No,No,No,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.7,0.0,4.7
Rangswal,292230,162.0,802,155,1,a,b,b,,,,,,0.0,Yes,No,Yes,No,No,Yes,No,No,b,b,Yes,c,b,b,c,c,Yes,Yes,b,Yes,Yes,a,c,b,Yes,b,Yes,Yes,Yes,No,No,No,0.0,4.4,0.0,0.0,0.0,0.0,157.6,0.0,0.0,0.0
Bukukhucha Reserve Block,292231,47.4,58,13,a,a,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,b,b,b,c,b,b,c,a,a,c,b,Yes,Yes,b,c,b,Yes,b,a,a,Yes,No,No,No,0.0,0.0,0.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0
Jooktoli Borbam T.E. 91/166,292232,114.1,354,74,1,a,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,b,b,b,c,b,b,c,c,a,Yes,b,Yes,Yes,b,c,b,Yes,b,Yes,a,Yes,No,No,No,0.0,7.3,0.0,0.0,0.0,0.0,0.0,106.8,0.0,106.8
Kecharuguri No.3,292233,64.1,343,66,1,a,a,b,,,,,,0.0,Yes,No,Yes,No,No,No,No,No,Yes,b,c,c,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,Yes,Yes,Yes,a,Yes,No,No,No,0.0,2.1,0.0,0.0,0.0,0.0,0.0,61.7,0.0,61.7
Kecharuguri No.1,292234,187.7,791,162,1,2,1,b,,,,,,0.0,Yes,Yes,Yes,No,No,Yes,No,No,Yes,b,c,,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,4.1,0.0,0.0,0.0,0.0,0.0,183.6,0.0,183.6
Chapatali No.4,292235,40.1,464,97,1,b,b,b,,,,,,0.0,Yes,No,No,Yes,No,Yes,No,No,Yes,b,c,,b,b,c,a,a,Yes,a,Yes,Yes,a,b,b,a,Yes,Yes,Yes,Yes,No,No,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,38.1
Disang Kinar No.1,292236,114.6,263,54,1,1,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,a,b,b,Yes,b,Yes,a,Yes,No,No,No,0.0,10.6,9.4,0.0,0.0,0.0,0.0,94.6,0.0,94.6
Disang Kinar No.2,292237,310.9,372,72,1,a,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,a,b,b,Yes,a,Yes,a,Yes,No,No,No,0.0,28.2,11.0,0.0,0.0,0.0,0.0,272.0,0.0,272.0
Bamuni Bill No.2 (Bamuni Bill No.3),292238,91.4,564,118,1,1,b,b,,,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,b,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,a,b,b,Yes,a,Yes,Yes,Yes,No,Yes,No,0.0,5.4,0.0,0.0,0.0,0.0,0.0,82.1,0.0,82.1
Mathawani,292239,303.5,797,164,1,1,1,b,,1.0,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,Yes,Yes,c,b,Yes,Yes,a,Yes,Yes,a,b,c,a,a,Yes,Yes,Yes,No,No,No,0.0,24.8,12.6,0.0,0.0,0.0,0.0,266.2,0.0,266.2
Mathawani Grazing,292240,63.3,58,13,1,a,b,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,c,b,b,c,a,Yes,Yes,a,b,c,Yes,a,Yes,a,Yes,No,No,No,0.0,0.0,0.0,60.6,0.0,0.0,0.0,2.7,0.0,2.7
Dihing Kinar Nepali,292241,218.5,791,161,1,a,b,b,,,,,,0.0,No,No,Yes,Yes,No,Yes,No,No,Yes,b,Yes,b,Yes,Yes,c,b,Yes,Yes,a,Yes,Yes,c,b,c,a,a,Yes,Yes,Yes,No,No,No,0.0,21.4,10.0,0.0,0.0,0.0,0.0,187.0,0.0,187.0
Bamuni Bill No.1,292242,169.4,504,102,1,1,b,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,Yes,c,b,Yes,Yes,a,Yes,Yes,a,b,c,Yes,a,Yes,Yes,Yes,No,No,No,0.0,43.6,15.4,0.0,0.0,0.0,0.0,110.4,0.0,110.4
Dighali Bill No.1,292243,402.1,444,89,1,1,1,b,,,1.0,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,c,b,c,a,a,Yes,a,Yes,No,No,No,0.0,120.7,19.0,0.0,0.0,0.0,0.0,262.4,0.0,262.4
Takaubill No.1,292244,141.4,205,41,1,a,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,b,b,Yes,Yes,b,Yes,a,Yes,No,No,No,0.0,16.7,15.4,0.0,0.0,0.0,0.0,101.2,0.0,101.2
Godhabill Gooa,292245,142.7,413,77,1,b,a,a,,,,,,0.0,Yes,No,Yes,Yes,No,Yes,No,No,Yes,b,b,b,b,b,c,b,b,Yes,b,Yes,Yes,c,b,c,a,b,Yes,a,Yes,No,No,No,0.0,12.7,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0
Nakhatia Sonowal Gaon,292246,183.5,351,69,1,1,1,a,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,Yes,c,b,a,Yes,a,Yes,Yes,c,b,c,a,Yes,Yes,a,Yes,No,No,No,0.0,12.1,15.4,0.0,0.0,0.0,0.0,145.3,0.0,145.3
Godhabill Chamaguri (Godhabill No.2 Chamaguri),292247,125.4,344,68,1,1,b,b,,,,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,Yes,c,b,a,Yes,a,Yes,Yes,c,b,c,a,a,Yes,a,Yes,No,No,No,0.0,26.8,10.7,0.0,0.0,0.0,0.0,87.9,0.0,87.9
Takaubill No.2,292248,268.6,296,55,1,1,c,c,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,c,c,c,c,Yes,c,c,b,Yes,a,Yes,Yes,c,c,c,a,a,Yes,a,Yes,No,No,No,0.0,40.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
Hil Kachubam,292249,150.9,450,92,1,1,1,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,b,b,b,Yes,c,b,b,Yes,a,Yes,Yes,c,b,c,a,a,Yes,Yes,Yes,No,No,No,0.0,8.8,12.3,0.0,0.0,0.0,0.0,119.7,0.0,119.7
