village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Nakhat Sonowal,291810,167.0,250,51,1,1,a,a,,,1.0,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,a,c,b,a,c,Yes,c,Yes,b,Yes,Yes,c,c,c,Yes,Yes,Yes,c,Yes,No,No,No,0.0,16.1,1.4,0.0,0.2,0.0,3.0,128.1,0.0,128.1
Changmai Gaon,291811,217.0,686,132,1,a,b,b,,,,,,2.0,No,No,Yes,Yes,No,Yes,No,No,Yes,c,Yes,c,Yes,Yes,c,Yes,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,36.5,0.0,6.1,1.0,0.0,0.5,155.9,0.0,155.9
Na-Changmai Village,291812,109.8,436,85,1,1,a,a,,,,,,0.0,Yes,Yes,No,Yes,No,No,No,No,Yes,c,b,c,c,a,c,a,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,b,Yes,No,No,No,0.0,19.0,0.0,3.9,1.3,0.0,0.5,78.6,0.0,78.6
Bormeslow Gaon,291813,73.0,90,19,a,a,b,c,,,,,,0.0,No,No,No,Yes,No,No,No,No,c,c,a,c,a,a,c,c,c,c,b,Yes,Yes,c,c,c,a,c,a,a,Yes,No,No,No,0.0,7.0,2.2,0.0,0.0,0.0,0.0,62.6,0.0,62.6
Garuhara Gaon,291814,183.0,889,167,1,1,1,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,c,a,c,Yes,a,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,19.0,15.0,34.0,1.4,0.0,0.0,101.5,0.0,101.5
Halaguri Gaon,291815,266.0,1164,231,1,2,1,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,a,c,Yes,a,c,b,c,Yes,a,Yes,Yes,a,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,266.0
Hologuri No.2,291816,45.1,305,62,1,a,a,b,,,1.0,,,0.0,Yes,No,Yes,Yes,No,Yes,No,No,Yes,b,b,c,b,b,b,c,a,Yes,a,Yes,Yes,c,b,c,a,c,Yes,a,Yes,No,No,No,0.0,8.8,2.1,0.0,1.2,0.0,2.8,20.2,0.0,20.2
Hologuri No.3,291818,195.0,208,40,1,a,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,Yes,No,No,Yes,c,a,c,b,a,c,c,c,Yes,a,Yes,Yes,b,c,c,a,c,Yes,a,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,195.0
Halaguri 9/182 Nnitp Grant Vi,291820,225.1,558,103,1,1,1,a,,,,,,0.0,No,No,Yes,Yes,Yes,No,No,No,Yes,c,Yes,c,c,c,c,Yes,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,18.7,0.0,0.0,7.5,0.0,1.3,189.6,0.0,189.6
Deogharia No.2,291821,125.7,503,99,1,a,1,a,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,c,c,c,c,c,c,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,18.0,0.0,0.0,1.3,0.0,0.5,98.7,0.0,98.7
